rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:4MzXwWMhyBbmu6hOcLVD49","Bad Bunny, Jhay Cortez","DÁKITI","Rimas Entertainment LLC",1,1,7,"8934743"
2,"spotify:track:7vrJn5hDSXRmdXoR30KgF1","KAROL G","BICHOTA","UMLE - Latino",2,2,8,"7112645"
3,"spotify:track:2XIc1pqjXV3Cr2BQUGNBck","Bad Bunny, ROSALÍA","LA NOCHE DE ANOCHE","Rimas Entertainment LLC",3,3,3,"4509122"
4,"spotify:track:1yoMvmasuxZfqHEipJhRbp","Maluma","Hawái","Sony Music Latin",1,4,20,"4170976"
5,"spotify:track:4loQgPwJHocL3dFwLfjb1J","Rauw Alejandro, Anuel AA","Reloj","Sony Music Latin/Duars Entertainment",5,10,8,"3192576"
6,"spotify:track:35UUpTmrcFXNIVIN26ujXl","Sech, Daddy Yankee, J Balvin, ROSALÍA, Farruko","Relación - Remix","Rich Music",2,6,15,"3170729"
7,"spotify:track:11EnQRgRMJwMAesfkB5pnu","Lele Pons, Guaynaa","Se Te Nota (with Guaynaa)","Shots Studios & Music/10:22pm/Interscope Records",2,7,15,"3153762"
8,"spotify:track:15OjBeqNX3bShsGYQbteRv","Farruko","La Tóxica","Sony Music Latin",4,8,16,"3087626"
9,"spotify:track:4jcxBTrNvyqMJdMDyyjdYV","Christian Nodal, Ángela Aguilar","Dime Cómo Quieres","Universal Music Mexico",4,9,5,"2977114"
10,"spotify:track:5RubKOuDoPn5Kj5TLVxSxY","Bad Bunny","TE MUDASTE","Rimas Entertainment LLC",4,5,3,"2836668"
11,"spotify:track:2bgcUk2A3jjKbCJ7KPquTi","Wisin, Myke Towers, Los Legendarios","Mi Niña","La Base Music Group/ WK Records",11,14,11,"2552626"
12,"spotify:track:21N4Buj4xsyLb218lYle61","Sebastian Yatra, Guaynaa","Chica Ideal","UMLE - Latino",12,15,8,"2548225"
13,"spotify:track:73nAK3HgQK8dak83Y2WQ8F","Camilo","Vida de Rico","Sony Music Latin",5,13,13,"2514991"
14,"spotify:track:7ndTONDDRFGiPnnhOzOXxq","Manuel Turizo, Rauw Alejandro, Myke Towers","La Nota","Sony Music Latin/La Industria",14,21,10,"2443872"
15,"spotify:track:4HYDUMY0xSpeBr0AMY9cUz","Jay Wheeler, DJ Nelson, Myke Towers","La Curiosidad","Linked Music / Dynamic Records / EMPIRE",6,18,25,"2412734"
16,"spotify:track:7x4ASXYEKfQBCewcZhK776","KAROL G","Ay, DiOs Mío!","UMLE - Latino",3,17,23,"2364707"
17,"spotify:track:4RJz8NfIe09gpKMiRUWKhJ","Maluma, Lenny Tavárez, Justin Quiles","Parce (feat. Justin Quiles)","Sony Music Latin",6,11,17,"2354204"
18,"spotify:track:16ONd70tvWAaLIc6hcLzaG","Christian Nodal","Aquí Abajo","Universal Music Mexico",6,16,23,"2339340"
19,"spotify:track:3GtnId3Cm1Xa6joCj08nzW","Justin Quiles","Jeans","WEA Latina",12,20,17,"2269765"
20,"spotify:track:26QApq0cuO9brJigr0C0W4","Bad Bunny","HACIENDO QUE ME AMAS","Rimas Entertainment LLC",5,12,3,"2092803"
21,"spotify:track:6fmQjRuo7XvRFCK2qex5hQ","Jerry Di","Mi Cuarto","Nacho",4,24,19,"2060270"
22,"spotify:track:4nbWX2HzrOEnX4xxvYRCyU","El Fantasma, Los Dos Carnales","Cabrón y Vago - En Vivo","Afinarte Music",22,29,19,"2034059"
23,"spotify:track:0VjIjW4GlUZAMYd2vXMi3b","The Weeknd","Blinding Lights","Republic Records",2,19,55,"2033861"
24,"spotify:track:2lCkncy6bIB0LTMT7kvrD1","J Balvin","Azul","UMLE - Latino",1,22,39,"1984148"
25,"spotify:track:3VvA1wSxukMLsvXoXtlwWx","Boza","Hecha Pa' Mi","Sony Music Latin",25,32,4,"1961174"
26,"spotify:track:0EhpEsp4L0oRGM0vmeaN5e","J Balvin, Dua Lipa, Bad Bunny, Tainy","UN DIA (ONE DAY) (Feat. Tainy)","Universal Music Latino/ NEON16",4,23,21,"1961027"
27,"spotify:track:1cVlW9WQiGlFdWUXFdFZGh","Piso 21, Christian Nodal","Pa' Olvidarme De Ella","WM Mexico",6,25,67,"1933293"
28,"spotify:track:6bvfJf4KjonPMuPfGfy3S2","Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka","La Jeepeta - Remix","Flow La Movie, Inc.",1,27,31,"1840829"
29,"spotify:track:4G3PTss3mU33Tau7t4KbwE","Rauw Alejandro, Camilo","Tattoo - Remix with Camilo","Sony Music Latin/Duars Entertainment",4,31,23,"1766489"
30,"spotify:track:7k4t7uLgtOxPwTpFmtJNTY","KAROL G, Nicki Minaj","Tusa","TUSA - Karol G & Nicki Minaj",1,30,58,"1746575"
31,"spotify:track:26w9NTiE9NGjW1ZvIOd1So","Bad Bunny","BOOKER T","Rimas Entertainment LLC",10,26,3,"1701608"
32,"spotify:track:5y7DaS3jAc9eZzcSOoUIwU","Ozuna, J Balvin, Chencho Corleone","Una Locura","Aura Music Corp.",18,33,15,"1700668"
33,"spotify:track:7D7EH7MGyNHWSkqrszerI1","Camilo, El Alfa","BEBÉ","Sony Music Latin",33,90,3,"1680936"
34,"spotify:track:1qfoq1qvZT7VwDVeekCJ97","Christian Nodal","De Los Besos Que Te Di","Universal Music Mexico",17,38,88,"1609041"
35,"spotify:track:4K8cyoCDovlc4FvtUr2Hfx","Cali Y El Dandee, Danna Paola","Nada","Cali y El Dandee PS",20,35,18,"1591125"
36,"spotify:track:7paFC3FEu1WtPVP4Do6VZN","Christian Nodal","Se Me Olvidó","Universal Music Mexico",3,37,41,"1589463"
37,"spotify:track:1s59X35jDULAyOGmBuTAnd","Lenin Ramírez, Grupo Firme","Yo Ya No Vuelvo Contigo - En Vivo","DEL Records",31,45,54,"1566764"
38,"spotify:track:5DoLhdU27owX1NMrKLUbUl","sh1ro","Sense","sh1ro",9,41,22,"1518997"
39,"spotify:track:4XKC4nfeXgyd4KQDu8arKL","Carlos Rivera, Maluma","100 Años","Sony Music Latin",34,43,4,"1517847"
40,"spotify:track:5fROvzNghPid8mbKNDYvpJ","Bad Bunny","YO VISTO ASÍ","Rimas Entertainment LLC",8,28,3,"1497086"
41,"spotify:track:1nLs8r6K4YN0avBwUmmTnr","Carin Leon","Tú","Tamarindo Rekordsz",14,50,29,"1483060"
42,"spotify:track:2DEZmgHKAvm41k4J3R2E9Y","Bad Bunny, Jowell & Randy, Ñengo Flow","Safaera","Rimas Entertainment LLC",1,39,42,"1459941"
43,"spotify:track:63Zaf8Rci6eOUPqDQ4fUFx","Camilo, Christian Nodal","La Mitad","Sony Music Latin",17,44,35,"1433108"
44,"spotify:track:34LI7rwi9H8w2S5KTHnv1M","Manuel Turizo","Quiéreme Mientras Se Pueda","Sony Music Latin/La Industria",21,47,29,"1402737"
45,"spotify:track:0GzuHFG4Ql6DoyxFRnIk3F","Maluma, The Weeknd","Hawái - Remix","Sony Music Latin",11,40,6,"1370938"
46,"spotify:track:69Y5IZuBvGyzySFt5x7kCq","Piso 21, Maluma","Más De La Una","WM Mexico",46,111,2,"1349793"
47,"spotify:track:2QwMXe5zbqymDZGYsMDVqZ","Carin Leon","Me La Avente","Tamarindo Rekordsz",27,49,80,"1332268"
48,"spotify:track:48XgkAh1fkcZqA2EZWCDX6","Aleman, Snoop Dogg","Mi Tío Snoop","Homegrown Entertainment",36,36,3,"1331866"
49,"spotify:track:41wtwzCZkXwpnakmwJ239F","Bad Bunny","Si Veo a Tu Mamá","Rimas Entertainment LLC",1,46,42,"1305373"
50,"spotify:track:0fea68AdmYNygeTGI4RC18","J Balvin, Bad Bunny","LA CANCIÓN","Universal Music Latino / Rimas",1,48,77,"1303713"
51,"spotify:track:2kTYr1MEn7lzybRudQpmWx","Cartel De Santa","Vaya Vaya","Babilonia Music, S.A. De C.V.",42,42,3,"1265487"
52,"spotify:track:67jvGGbJmOmVonlyX3mNkV","Ozuna, KAROL G, Myke Towers","Caramelo - Remix","Aura Music Corp.",22,55,17,"1229944"
53,"spotify:track:6VZMIyzOupI4vA68RaUgXb","Reik, Christian Nodal","Poco","Sony Music México",53,58,3,"1221255"
54,"spotify:track:5Jm4w8jmPEBTLjI9vH4fXo","Ozuna","Caramelo","Aura Music Corp.",4,53,27,"1219384"
55,"spotify:track:0JAZWvvqttGFm4UMDsPQXC","Ozuna, Camilo","Despeinada","Aura Music Corp.",27,60,14,"1205851"
56,"spotify:track:23XjN1s3DZC8Q9ZwuorYY4","Bad Bunny","TE DESEO LO MEJOR","Rimas Entertainment LLC",7,34,3,"1191913"
57,"spotify:track:5zj8WNkBrEzlI5FKeYV4ol","Sech, J Balvin","La Luz","Rich Music",46,75,7,"1177057"
58,"spotify:track:1pqnQ41XbfKjaFu6M0eGJp","Tainy, J Balvin","Agua (with J Balvin)","NEON16/Interscope Records",3,59,23,"1163116"
59,"spotify:track:0SqqAgdovOE24BzxIClpjw","Bad Bunny","Yo Perreo Sola","Rimas Entertainment LLC",1,52,42,"1160988"
60,"spotify:track:78SeXVRJ7KCqVmOwTiFjnI","Bizarrap, Nathy Peluso","Nathy Peluso: Bzrp Music Sessions, Vol. 36","DALE PLAY Records",60,158,2,"1159136"
61,"spotify:track:1rgnBhdG2JDFTbYkYRZAku","Tones And I","Dance Monkey","Elektra (NEK)",2,54,66,"1158633"
62,"spotify:track:1GNSWpe2SB30zYGbNTD96b","Danna Paola, Sebastian Yatra","No Bailes Sola","Universal Music Mexico",26,70,22,"1140316"
63,"spotify:track:69vlMrzHwATKzupwNcUPyK","Bad Bunny, Daddy Yankee","La Santa","Rimas Entertainment LLC",5,57,42,"1136327"
64,"spotify:track:1bRpSCFv6P2OUhciByeRYR","Alex Rose, Rafa Pabön","Jangueo","Los Oidos Fresh/ Los Proximos",7,63,47,"1130015"
65,"spotify:track:6SnO4yCCYtz2rffMpEAlro","Christian Nodal","Nace Un Borracho","Universal Music Mexico",17,80,14,"1120120"
66,"spotify:track:19OXtYzrJyCrQvTbfukt4H","Maluma, Myke Towers","Madrid (feat. Myke Towers)","Sony Music Latin",33,72,17,"1118024"
67,"spotify:track:4R8BJggjosTswLxtkw8V7P","Jhay Cortez, J Balvin, Bad Bunny","No Me Conoce - Remix","N&E Entertainment LLC",3,67,83,"1117154"
68,"spotify:track:4CLkDJ4xLqkV4Vt2vPOny1","El Fantasma","Palabra de Hombre","Afinarte Music",59,86,41,"1116716"
69,"spotify:track:6sRaqq9SYsSTPvrWkL1sRy","Mi Banda El Mexicano","Ramito De Violetas","Craft Recordings",53,93,44,"1116408"
70,"spotify:track:0jT8Nl0shPS8115is0wD2Q","Camilo","Favorito","Sony Music Latin",2,66,38,"1103345"
71,"spotify:track:7sQKy5vlPQllr0k9IjYJv3","Arcangel, Sech, Dímelo Flow","Sigues Con El","Rimas Entertainment LLC.",3,68,53,"1092897"
72,"spotify:track:0tjZv2hChdHZCW1zFXpy1J","Bad Bunny","HOY COBRÉ","Rimas Entertainment LLC",13,62,3,"1092573"
73,"spotify:track:1uKjQoh8JZj9ryuYRhpd7E","Luis Miguel","Ahora Te Puedes Marchar","WM Mexico",21,77,208,"1076905"
74,"spotify:track:53PoPAD389bBE4ePYuT95g","Los Dos Carnales","El Envidioso","Afinarte Music",71,100,27,"1072580"
75,"spotify:track:54bFM56PmE4YLRnqpW6Tha","Billie Eilish","Therefore I Am","Darkroom/Interscope Records",56,78,5,"1068108"
76,"spotify:track:3PfIrDoz19wz7qK7tYeu62","Dua Lipa","Don't Start Now","Warner Records",8,65,59,"1060208"
77,"spotify:track:380HmhwTE2NJgawn1NwkXi","J Balvin","Rojo","UMLE - Latino",3,51,42,"1056162"
78,"spotify:track:35wvL50xvKpCHEJPxLOLPI","Bad Bunny","Si Estuviésemos Juntos","Rimas Entertainment LLC",52,74,83,"1054150"
79,"spotify:track:4saklk6nie3yiGePpBwUoc","BTS","Dynamite","BIGHIT MUSIC",21,64,17,"1049961"
80,"spotify:track:2n7ohqg1s68ToAHh4u9mcW","Bad Bunny","Vete","Rimas Entertainment LLC",1,71,56,"1036570"
81,"spotify:track:3ZG8N7aWw2meb6UrI5ZmnZ","Sech","Relación","Rich Music",2,76,37,"1035148"
82,"spotify:track:0akyEssGRVHstqCSWXusJL","Ed Maverick","Fuentes de Ortiz","Universal Music Mexico",21,83,101,"1010303"
83,"spotify:track:22Sh5dlwbERqJAq1fZk5b2","Rauw Alejandro, J Balvin","De Cora <3","Sony Music Latin/Duars Entertainment",52,95,5,"1008201"
84,"spotify:track:6WYB1odDfMPVMyp1QxFInT","Eslabon Armado","Con Tus Besos","Eslabon Armado",47,103,35,"998505"
85,"spotify:track:6UelLqGlWMcVH1E5c4H7lY","Harry Styles","Watermelon Sugar","Columbia",28,81,41,"988112"
86,"spotify:track:2vBET2pmrQqafaS6zIaYta","Black Eyed Peas, Shakira","GIRL LIKE ME","Epic",86,-1,1,"976897"
87,"spotify:track:4r9jkMEnArtWGH2rL2FZl0","Bad Bunny","A Tu Merced","Rimas Entertainment LLC",18,84,42,"976465"
88,"spotify:track:13vDU8nPsvTGEVTMB8Vw7g","Aya Nakamura, Maluma","Djadja (feat. Maluma) - Remix","Rec. 118",9,99,25,"972935"
89,"spotify:track:5LPlvbxA6bJQHvUW12Mr22","Christian Nodal","Amor Tóxico","Universal Music Mexico",16,107,29,"967807"
90,"spotify:track:5Myb8S90Wg0yLec5kmrIGJ","Los Ángeles Azules, Belinda, Lalo Ebratt, Horacio Palencia","Amor a Primera Vista","OCESA Seitrack",13,92,79,"965863"
91,"spotify:track:0TJpnfkl1YrpbUUWtEyKAt","Leon Leiden","Fondo de Bikini","WM Mexico",91,98,3,"963983"
92,"spotify:track:45S5WTQEGOB1VHr1Q4FuPl","Harry Styles","Golden","Columbia",56,88,8,"961238"
93,"spotify:track:2MeEuwplwbbjZ7hxRI6viw","Grupo Firme, Marca MP","El Güero (Feat. Marca MP)","Music VIP Entertainment Inc",47,108,52,"952052"
94,"spotify:track:7hbk4BaF66O09R1gq0bKwj","Christian Nodal","No Te Contaron Mal","Universal Music Mexico",9,97,119,"944113"
95,"spotify:track:2tFwfmceQa1Y6nRPhYbEtC","Jhay Cortez, Bad Bunny","CÓMO SE SIENTE - Remix","N&E Entertainment LLC",26,94,32,"939901"
96,"spotify:track:5stPVcRqb4qixbafP9e8lt","Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow","Hola - Remix","Rich Music",10,91,56,"929151"
97,"spotify:track:38RIEav39FGi86jppxO0du","Bad Bunny, Sech","Ignorantes","Rimas Entertainment LLC",2,87,44,"928900"
98,"spotify:track:2TH65lNHgvLxCKXM3apjxI","Bad Bunny, Tainy","Callaita","Rimas Entertainment LLC",1,101,81,"927536"
99,"spotify:track:35mvY5S1H3J2QZyna3TFe0","Ariana Grande","positions","Republic Records",50,102,8,"927418"
100,"spotify:track:0XinBYhf1X3kdvKQHOX971","C. Tangana, Niño de Elche, La Húngara","Tú Me Dejaste De Querer","Sony Music Entertainment",100,109,5,"927357"
101,"spotify:track:6VuUMo1TusnqBxLTnr3hOI","León Larregui","Brillas","EMI México",43,110,208,"924867"
102,"spotify:track:67ACYA3UI6QMNtHX6b34wX","Bad Bunny","LA DROGA","Rimas Entertainment LLC",16,56,3,"924261"
103,"spotify:track:5jZ32WOU7sqzDYbzINwMUk","Bad Bunny, ABRA","SORRY PAPI","Rimas Entertainment LLC",21,61,3,"921847"
104,"spotify:track:7E9GeFGfjXw9LAI4ay6rsw","Grupo Firme, Carin Leon","El Tóxico","Music VIP Entertainment Inc",93,120,7,"920718"
105,"spotify:track:4j3iq13kHs5PB94jdTp3Y3","Maluma","ADMV","Sony Music Latin",18,104,34,"919100"
106,"spotify:track:72kaj3MRKcGnv2dbukJQRA","Los Dos Carnales","Vida Ventajosa","Afinarte Music",106,134,17,"918218"
107,"spotify:track:68mrW6gXHgupgSiDHgaDi5","Nicky Jam, Myke Towers","Polvo","Sony Music Latin",107,116,4,"900292"
108,"spotify:track:6NfrH0ANGmgBXyxgV2PeXt","Bad Bunny","La Difícil","Rimas Entertainment LLC",3,96,42,"899334"
