"endTime","artistName","trackName","msPlayed"
"2022-03-20 20:00","Mecano","Una rosa es una rosa",109722
"2022-03-20 22:21","ROSALÍA","G3 N15",12343
"2022-03-20 22:21","ROSALÍA","CANDY",47488
"2022-03-20 22:21","ROSALÍA","HENTAI",12903
"2022-03-20 22:21","ROSALÍA","BULERÍAS",7627
"2022-03-20 22:22","ROSALÍA","MOTOMAMI",24747
"2022-03-20 22:24","ROSALÍA","COMO UN G",8520
"2022-03-20 22:24","ROSALÍA","CUUUUuuuuuute",10528
"2022-03-20 22:24","ROSALÍA","DIABLO",95678
"2022-03-20 22:24","ROSALÍA","DELIRIO DE GRANDEZA",6602
"2022-03-20 22:24","ROSALÍA","SAKURA",4713
"2022-03-20 22:27","ROSALÍA","LA COMBI VERSACE (feat. Tokischa)",165283
"2022-03-20 22:28","ROSALÍA","Dolerme",22852
"2022-03-20 22:28","ROSALÍA","SAKURA",32313
"2022-03-20 22:29","ROSALÍA","BAGDAD - Cap.7: Liturgia",56683
"2022-03-20 22:29","ROSALÍA","LA COMBI VERSACE (feat. Tokischa)",2545
"2022-03-20 22:29","ROSALÍA","CUUUUuuuuuute",858
"2022-03-20 22:31","ROSALÍA","LA COMBI VERSACE (feat. Tokischa)",90946
"2022-03-20 23:12","ROSALÍA","CANDY",48996
"2022-03-20 23:13","ROSALÍA","LA COMBI VERSACE (feat. Tokischa)",61280
"2022-03-21 03:49","Sia","Snowman",11060
"2022-03-21 03:49","Sia","Unstoppable",217746
"2022-03-21 03:52","Sia","Genius (feat. Sia, Diplo, and Labrinth)",13587
"2022-03-21 03:52","Sia","Unstoppable",140331
"2022-03-21 03:54","Sia","No New Friends (feat. Sia, Diplo, and Labrinth)",124418
"2022-03-21 03:58","Sia","Unstoppable",146326
"2022-03-21 04:02","Sia","Snowman",10310
"2022-03-21 04:02","Sia","Unstoppable",217746
"2022-03-21 04:04","Sia","Chandelier",140399
"2022-03-21 04:05","ROSALÍA","DIABLO",19928
"2022-03-21 04:06","ROSALÍA","BIZCOCHITO",109120
"2022-03-21 04:07","ROSALÍA","G3 N15",3536
"2022-03-21 04:09","ROSALÍA","LA COMBI VERSACE (feat. Tokischa)",138068
"2022-03-21 04:11","ROSALÍA","G3 N15",26578
"2022-03-21 04:11","ROSALÍA","CANDY",1132
"2022-03-21 04:11","ROSALÍA","BIZCOCHITO",109120
"2022-03-21 04:13","ROSALÍA","CANDY",285
"2022-03-21 04:13","ROSALÍA","SAOKO",137533
"2022-03-21 04:15","ROSALÍA","G3 N15",3157
"2022-03-21 04:15","ROSALÍA","BIZCOCHITO",109120
"2022-03-21 04:18","ROSALÍA","G3 N15",5258
"2022-03-21 04:18","ROSALÍA","BIZCOCHITO",170470
"2022-03-21 04:20","ROSALÍA","G3 N15",12587
"2022-03-21 04:20","ROSALÍA","BIZCOCHITO",109120
"2022-03-21 04:22","ROSALÍA","BIZCOCHITO",109120
"2022-03-21 04:23","ROSALÍA","G3 N15",30407
"2022-03-21 04:25","ROSALÍA","G3 N15",36596
"2022-03-21 04:25","ROSALÍA","BIZCOCHITO",109120
"2022-03-21 04:27","ROSALÍA","BIZCOCHITO",109120
"2022-03-21 04:29","ROSALÍA","G3 N15",9802
"2022-03-21 14:06","ROSALÍA","LA COMBI VERSACE (feat. Tokischa)",122238
"2022-03-21 14:07","ROSALÍA","BIZCOCHITO",63357
"2022-03-21 14:10","ROSALÍA","CANDY",8607
"2022-03-21 14:10","ROSALÍA","SAOKO",137533
"2022-03-21 14:11","ROSALÍA","LA COMBI VERSACE (feat. Tokischa)",77816
"2022-03-21 14:13","ROSALÍA","BIZCOCHITO",92454
"2022-03-21 14:16","Sia","Unstoppable",217746
"2022-03-21 14:17","Sia","Snowman",12616
"2022-03-21 14:20","Sia","Snowman",1579
"2022-03-21 14:20","Sia","Unstoppable",217746
"2022-03-21 14:24","Sia","Snowman",6020
"2022-03-21 14:24","Sia","Unstoppable",217746
"2022-03-21 14:28","Sia","Unstoppable",261967
"2022-03-21 14:29","ROSALÍA","BIZCOCHITO",48387
"2022-03-21 14:33","ROSALÍA","LA COMBI VERSACE (feat. Tokischa)",202756
"2022-03-21 14:35","ROSALÍA","G3 N15",0
"2022-03-21 14:35","ROSALÍA","BIZCOCHITO",169332
"2022-03-21 14:38","ROSALÍA","BIZCOCHITO",154568
"2022-03-22 05:53","ROSALÍA","LA COMBI VERSACE (feat. Tokischa)",161266
"2022-03-22 05:53","ROSALÍA","SAKURA",17754
"2022-03-22 05:54","ROSALÍA","BIZCOCHITO",56045
"2022-03-22 05:57","ROSALÍA","LA COMBI VERSACE (feat. Tokischa)",159445
"2022-03-22 05:58","mediopicky","Si la Calle Bota Fuego",42456
"2022-03-22 06:01","Sia","Snowman",0
"2022-03-22 06:01","Sia","Unstoppable",216690
"2022-03-22 06:05","Sia","Snowman",9991
"2022-03-22 06:05","Sia","Unstoppable",217746
"2022-03-22 06:08","Sia","Genius (feat. Sia, Diplo, and Labrinth)",624
"2022-03-22 06:08","Sia","Unstoppable",154672
"2022-03-22 06:11","Sia","Chandelier",216086
"2022-03-22 06:12","Sia","Straight for the Knife",3413
"2022-03-22 06:12","Sia","Genius (feat. Sia, Diplo, and Labrinth)",30248
"2022-03-22 06:16","Sia","Fire Meet Gasoline",238937
"2022-03-22 16:17","La Lupe","Don't Play That Song",10885
"2022-03-22 16:22","Laura Branigan","Gloria",289853
"2022-03-22 16:23","Fugees","Killing Me Softly With His Song",48086
"2022-03-22 16:27","Blondie","Heart Of Glass - Special Mix",275733
"2022-03-22 16:32","Sade","Smooth Operator - Single Version",258693
"2022-03-22 16:37","Cheryl Lynn","Got to Be Real",307946
"2022-03-22 16:41","Sade","Your Love Is King",219426
"2022-03-22 16:44","Blondie","One Way Or Another - Remastered",215106
"2022-03-22 16:49","Bonnie Tyler","Total Eclipse of the Heart",267360
"2022-03-22 16:54","The Weather Girls","It's Raining Men",325426
"2022-03-22 16:59","Donna Summer","Hot Stuff",314760
"2022-03-22 17:02","Aretha Franklin","Respect",147600
"2022-03-22 17:05","Tina Charles","I Love to Love",183693
"2022-03-22 17:08","Dolly Parton","Jolene",161533
"2022-03-22 17:13","Roxette","Listen To Your Heart",328093
"2022-03-22 17:17","Blondie","Call Me",212600
"2022-03-22 17:21","Blondie","Maria",249426
"2022-03-22 17:25","The Pointer Sisters","I'm So Excited",230640
"2022-03-22 17:29","Irene Cara","Flashdance...What a Feeling - Radio Edit",237053
"2022-03-22 17:32","Madonna","Like a Virgin",218626
"2022-03-22 17:35","Olivia Newton-John","Hopelessly Devoted To You - From “Grease”",185360
"2022-03-22 17:38","Nina Simone","I Put A Spell On You",155026
"2022-03-22 17:40","Nina Simone","I Want a Little Sugar In My Bowl",152106
"2022-03-22 17:44","Patti Smith","Because the Night",205386
"2022-03-22 17:49","Blondie","Atomic",280324
"2022-03-22 17:53","LaBelle","Lady Marmalade",237120
"2022-03-22 17:56","Mariah Carey","Without You",213666
"2022-03-22 18:01","Kate Bush","Running Up That Hill (A Deal With God)",298933
"2022-03-22 18:17","Donna Summer","Love To Love You Baby",950943
"2022-03-22 18:20","Nina Simone","Feeling Good",174000
"2022-03-22 18:24","Amii Stewart","Knock On Wood",250520
"2022-03-22 18:29","Baccara","Yes Sir, I Can Boogie",273866
"2022-03-22 18:33","Kelly Marie","Feels Like I'm in Love",256666
"2022-03-22 18:37","Cyndi Lauper","Girls Just Want to Have Fun",238266
"2022-03-22 18:40","Shocking Blue","Venus",187533
"2022-03-22 18:44","Gloria Gaynor","I Will Survive",246012
"2022-03-23 04:17","ROSALÍA","LA COMBI VERSACE (feat. Tokischa)",127737
"2022-03-23 04:19","ROSALÍA","BIZCOCHITO",109120
"2022-03-23 04:19","ROSALÍA","BULERÍAS",3681
"2022-03-23 04:20","ROSALÍA","BIZCOCHITO",102817
"2022-03-23 04:23","ROSALÍA","SAOKO",137533
"2022-03-23 04:25","ROSALÍA","CANDY",9951
"2022-03-23 04:25","ROSALÍA","BIZCOCHITO",109120
"2022-03-23 04:27","ROSALÍA","LA COMBI VERSACE (feat. Tokischa)",161266
"2022-03-23 04:28","ROSALÍA","COMO UN G",24463
"2022-03-23 04:30","ROSALÍA","BIZCOCHITO",109120
"2022-03-23 04:30","ROSALÍA","HENTAI",16514
"2022-03-23 04:32","ROSALÍA","BIZCOCHITO",109120
"2022-03-23 04:32","ROSALÍA","LA FAMA (with The Weeknd)",18638
"2022-03-23 04:34","ROSALÍA","BIZCOCHITO",109120
"2022-03-23 04:34","ROSALÍA","CHICKEN TERIYAKI",4473
"2022-03-23 04:36","ROSALÍA","SAOKO",137533
"2022-03-23 04:37","ROSALÍA","HENTAI",26423
"2022-03-23 04:39","ROSALÍA","LA FAMA (with The Weeknd)",136145
"2022-03-23 04:41","ROSALÍA","LA COMBI VERSACE (feat. Tokischa)",152030
"2022-03-23 04:43","ROSALÍA","BIZCOCHITO",109120
"2022-03-23 04:44","ROSALÍA","SAKURA",38418
"2022-03-23 04:48","Aventura","Volví",230111
"2022-03-23 04:49","Bad Bunny","Callaita",80265
"2022-03-23 04:53","J Balvin","Qué Más Pues?",217340
"2022-03-23 04:53","J Balvin","UN DIA (ONE DAY)",19611
"2022-03-23 04:54","Rauw Alejandro","MUSEO",61427
"2022-03-23 04:58","The Internet","Hold On",266017
"2022-03-23 05:02","Masego","Mystery Lady",215425
"2022-03-23 05:05","James Blake","Barefoot In The Park (feat. ROSALÍA)",198715
"2022-03-23 05:08","Dame","Slow Down",176368
"2022-03-23 05:09","Full Crate","Deeper",9091
"2022-03-23 05:09","Ayra Starr","Beggie Beggie",44064
"2022-03-23 05:12","KAROL G","EL MAKINON",52715
"2022-03-23 05:12","King Princess","PAIN",142175
"2022-03-23 05:18","KAROL G","BICHOTA",320254
"2022-03-23 05:20","KAROL G","EL MAKINON",129405
"2022-03-23 05:21","KAROL G","BICHOTA",78003
"2022-03-23 05:23","ROSALÍA","BIZCOCHITO",109120
"2022-03-23 05:25","ROSALÍA","BIZCOCHITO",7916
"2022-03-23 05:25","ROSALÍA","SAOKO",137533
"2022-03-23 05:25","ROSALÍA","SAKURA",341
"2022-03-23 05:28","ROSALÍA","SAOKO",137533
"2022-03-23 05:30","ROSALÍA","DELIRIO DE GRANDEZA",131685
"2022-03-23 17:13","Bleu Toucan","Ananas",269857
"2022-03-23 17:13","The Marías","Clueless",15232
"2022-03-23 17:15","Jain","Flash (Pointe-Noire)",137653
"2022-03-23 17:22","Joe Goddard","Truth Is Light",185053
"2022-03-23 17:26","Christine and the Queens","Science Fiction",219128
"2022-03-23 17:26","Lewis OfMan","Tes yeux",34725
"2022-03-23 17:27","Christine and the Queens","I disappear in your arms",15510
"2022-03-23 17:27","Charli XCX","New Shapes (feat. Christine and the Queens and Caroline Polachek)",13572
"2022-03-23 17:30","Christine and the Queens","Science Fiction",219128
"2022-03-23 17:50","Christine and the Queens","Paradis Perdus",0
"2022-03-23 20:07","Christine and the Queens","Christine",210625
"2022-03-23 20:07","ROSALÍA","G3 N15",7170
"2022-03-23 20:07","ROSALÍA","HENTAI",12994
"2022-03-23 20:07","ROSALÍA","DIABLO",26334
"2022-03-23 20:08","ROSALÍA","DELIRIO DE GRANDEZA",5750
"2022-03-23 20:09","ROSALÍA","LA COMBI VERSACE (feat. Tokischa)",57615
"2022-03-24 02:28","ROSALÍA","LA COMBI VERSACE (feat. Tokischa)",161266
"2022-03-24 02:29","ROSALÍA","Abcdefg",19960
"2022-03-24 02:32","ROSALÍA","CANDY",0
"2022-03-24 02:32","ROSALÍA","BIZCOCHITO",211221
"2022-03-24 02:34","ROSALÍA","SAOKO",100051
"2022-03-24 02:36","ROSALÍA","BIZCOCHITO",109120
"2022-03-24 02:37","ROSALÍA","HENTAI",1094
"2022-03-24 17:39","Kid Cudi","Pursuit Of Happiness - Extended Steve Aoki Remix",373626
"2022-03-24 17:43","M83","Midnight City",243960
"2022-03-24 17:47","Yeah Yeah Yeahs","Heads Will Roll",221000
"2022-03-24 17:49","Major Lazer","Light It Up - Remix",166138
"2022-03-24 17:53","Diplo","On My Mind",189268
"2022-03-24 17:54","50 Cent","In Da Club",84060
"2022-03-24 17:56","Major Lazer","Roll the Bass",7220
"2022-03-24 17:56","Major Lazer","Blaze Up The Fire",3940
"2022-03-24 17:56","Major Lazer","Too Original",132451
"2022-03-24 17:57","Major Lazer","Cold Water",44787
