"endTime","artistName","trackName","msPlayed"
"2021-03-28 21:26","Dennis Lloyd","Nevermind",156600
"2021-03-28 21:30","Sam Smith","I'm Not The Only One",239306
"2021-03-28 21:33","Naughty Boy","La La La",222200
"2021-03-28 21:37","Sam Smith","Dance (‘Til You Love Someone Else)",225374
"2021-03-28 21:40","Sam Smith","My Oasis (feat. Burna Boy)",160419
"2021-03-29 04:24","alt-J","Tessellate",181400
"2021-03-29 04:28","alt-J","Taro",219308
"2021-03-29 04:31","SOHN","Artifice",197977
"2021-03-29 04:31","The Whitest Boy Alive","Burning",28143
"2021-03-29 06:44","Dennis Lloyd","Nevermind",159363
"2021-03-29 06:44","Sam Smith","So Serious",2780
"2021-03-29 06:47","KAROL G","BICHOTA",178946
"2021-03-29 06:48","Calvin Harris","Promises (with Sam Smith)",57162
"2021-03-29 06:51","KAROL G","BICHOTA",168320
"2021-03-29 06:53","Dennis Lloyd","Nevermind",156600
"2021-03-29 06:54","The Blaze","Territory",7504
"2021-03-29 06:56","KAROL G","BICHOTA",145905
"2021-03-29 06:56","KAROL G","BICHOTA",11814
"2021-03-29 06:59","Bad Bunny","DÁKITI",166936
"2021-03-29 07:02","Bad Bunny","A Tu Merced",175918
"2021-03-29 07:02","Bad Bunny","Ignorantes",2338
"2021-03-29 07:02","Bad Bunny","HACIENDO QUE ME AMAS",3328
"2021-03-29 07:04","Bad Bunny","Que Malo",3249
"2021-03-29 07:04","Bad Bunny","Bichiyal",128307
"2021-03-29 07:06","Bad Bunny","Que Malo",10498
"2021-03-29 07:06","Bad Bunny","La Zona",118764
"2021-03-29 07:09","Bad Bunny","La Zona",136892
"2021-03-29 07:11","Bad Bunny","Que Malo",167975
"2021-03-29 07:12","Bad Bunny","Vete",16464
"2021-03-29 07:15","Bad Bunny","Una Vez",23887
"2021-03-29 07:15","Bad Bunny","A Tu Merced",175918
"2021-03-29 07:17","Bad Bunny","La Zona",136892
"2021-03-29 07:20","Bad Bunny","Que Malo",167975
"2021-03-29 07:21","Bad Bunny","Que Malo",3899
"2021-03-29 07:21","Bad Bunny","Vete",68054
"2021-03-29 07:21","Bad Bunny","Ignorantes",1056
"2021-03-29 07:24","Bad Bunny","Que Malo",1417
"2021-03-29 07:24","Bad Bunny","Vete",6235
"2021-03-29 07:24","Bad Bunny","La Zona",136892
"2021-03-29 07:26","Bad Bunny","A Tu Merced",102138
"2021-03-29 07:28","Bad Bunny","Safaera",133931
"2021-03-29 07:28","Jowell & Randy","Bien Arrebatao",2846
"2021-03-29 07:28","Jowell & Randy","Hoy Se Chicha",7449
"2021-03-29 07:28","Jowell & Randy","Tóxicos",470
"2021-03-29 07:30","Jowell & Randy","Látigo",1674
"2021-03-29 07:30","Jowell & Randy","Bien Arrebatao",1458
"2021-03-29 07:30","Jowell & Randy","Si Se Tiran",112778
"2021-03-29 07:30","Jowell & Randy","Reggaetón Hp",9729
"2021-03-29 07:32","Jowell & Randy","Tóxicos",106308
"2021-03-29 07:33","Jowell & Randy","La Parabí",2966
"2021-03-29 07:33","Jowell & Randy","Perriando",3076
"2021-03-29 07:33","Jowell & Randy","Si Se Tiran",77781
"2021-03-29 07:37","Jowell & Randy","Si Se Tiran",214749
"2021-03-29 07:39","Jowell & Randy","Hoy Se Chicha",154398
"2021-03-29 07:42","Jowell & Randy","A Mi Si Me Gusta",134261
"2021-03-29 16:30","The Blaze","Territory",276373
"2021-03-29 16:32","KAYTRANADA","Puff Lah",113346
"2021-03-29 16:37","The Knife","Pass This On - Shaken-Up Version",319043
"2021-03-29 16:41","Peggy Gou","Starry Night - Edit",233978
"2021-03-29 16:46","Crazy P","Cruel Mistress",294914
"2021-03-29 16:50","The Blaze","Faces",237772
"2021-03-29 16:51","Peggy Gou","Han Jan - Edit",35523
"2021-03-30 03:00","Piso 21","Pa' Olvidarme De Ella",20018
"2021-03-30 03:00","Los Plebes del Rancho de Ariel Camacho","2 Veces",8510
"2021-03-30 03:00","Christian Nodal","Aquí Abajo",4270
"2021-03-30 03:00","Camilo","La Mitad",21364
"2021-03-30 03:01","Christian Nodal","Si Te Falta Alguien",27466
"2021-03-30 03:02","Joey Montana","Suena El Dembow",4078
"2021-03-30 03:02","Camilo","Machu Picchu",48403
"2021-03-30 03:02","Carlos Vives","Robarte un Beso",5092
"2021-03-30 03:05","Sebastian Yatra","Ya No Tiene Novio",198933
"2021-03-30 03:06","Sebastian Yatra","Devuélveme El Corazón",33133
"2021-03-30 03:09","Sebastian Yatra","Ya No Tiene Novio",198933
"2021-03-30 03:10","Sebastian Yatra","Devuélveme El Corazón",34210
"2021-03-30 03:12","Sebastian Yatra","Ya No Tiene Novio",165067
"2021-03-30 03:16","Sebastian Yatra","Ya No Tiene Novio",198933
"2021-03-30 03:16","Sebastian Yatra","Devuélveme El Corazón",11343
"2021-03-30 03:19","Danna Paola","No Bailes Sola",6449
"2021-03-30 03:19","Sebastian Yatra","Ya No Tiene Novio",167744
"2021-03-30 03:19","Sebastian Yatra","Sin Ti",2052
"2021-03-30 03:23","Maluma","Hawái",200197
"2021-03-30 03:24","C. Tangana","Antes de Morirme (feat. ROSALÍA)",31857
"2021-03-30 03:26","J Balvin","LA CANCIÓN",112258
"2021-03-30 14:24","Farruko","Cositas Que Haciamos",4828
"2021-03-30 14:24","Sebastian Yatra","Ya No Tiene Novio",198933
"2021-03-30 14:24","Sebastian Yatra","Devuélveme El Corazón",9370
"2021-03-30 14:24","Kenny Man","Ni Gucci Ni Prada - Remix",30025
"2021-03-30 14:27","Bad Bunny","DÁKITI",182812
"2021-03-30 14:30","Bad Bunny","SORRY PAPI",137434
"2021-03-30 14:32","Bad Bunny","Que Malo",2212
"2021-03-30 14:32","Bad Bunny","La Zona",123214
"2021-03-30 14:32","Bad Bunny","Ignorantes",1382
"2021-03-30 14:34","Bad Bunny","A Tu Merced",134236
"2021-03-30 14:36","Bad Bunny","La Zona",134336
"2021-03-30 14:38","Bad Bunny","Que Malo",105263
"2021-03-30 14:40","Bad Bunny","La Zona",136892
"2021-03-30 14:41","Bad Bunny","Que Malo",5210
"2021-03-30 14:44","KAROL G","Tusa",183205
"2021-03-30 14:46","Christian Nodal","Se Me Olvidó",0
"2021-03-30 14:46","Camilo","La Mitad",11523
"2021-03-30 14:46","Alex Rose","Jangueo",1564
"2021-03-30 14:46","Nio Garcia","La Jeepeta - Remix",136068
"2021-03-30 14:46","Black Eyed Peas","RITMO (Bad Boys For Life)",2356
"2021-03-30 14:49","Sech","Relación - Remix",5061
"2021-03-30 14:49","KAROL G","BICHOTA",178946
"2021-03-30 14:50","Dennis Lloyd","Nevermind",9939
"2021-03-30 15:14","Jowell & Randy","Si Se Tiran",197717
"2021-03-30 17:01","Camilo","Tutu",47508
"2021-03-30 17:03","Sebastian Yatra","Ya No Tiene Novio",131231
"2021-03-30 17:04","DJ Pedro Fuentes","Ella Sabe",1803
"2021-03-30 17:04","Mau y Ricky","La Boca",53209
"2021-03-30 17:07","Guaynaa","Mera",199400
"2021-03-30 17:07","Tego Calderon","Punto y Aparte",0
"2021-03-30 17:11","#Mexasinpartys","Tra!",197564
"2021-03-30 17:14","Tomasa del Real","Tu Señora",202497
"2021-03-30 17:17","Sofía Reyes","Échalo Pa' Ca",199713
"2021-03-30 17:20","Guaynaa","Mera",186064
"2021-03-30 17:25","De La Ghetto","Chulo Sin H",284188
"2021-03-30 17:28","Watussi","Dale Pal Piso (feat. Jowell y Randy & Ñengo Flow)",21959
"2021-03-30 17:28","Bad Bunny","La Santa",170647
"2021-03-30 17:31","Sir Speedy","Como Mi Nena No Hay (feat. Master Joe y O.G. Black)",174389
"2021-03-30 17:36","Talisto","La Cama",36183
"2021-03-30 17:36","Latin Fresh","Zoom",273066
"2021-03-30 17:41","El Alfa","Dembow y Reggaeton",249733
"2021-03-30 17:42","Anuel AA","China",102755
"2021-03-30 17:45","J Balvin","Blanco",136322
"2021-03-30 17:48","ROSALÍA","Yo x Ti, Tu x Mi",201040
