rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,date,year,month,week
1,spotify:track:4gzsuuZypVbxs0Af1LSZyB,"Tainy, Bad Bunny, Julieta Venegas",Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Neon16,1,25,2,5502139,2021-10-14,2021,10,2
2,spotify:track:798ahLNEcoFER7Vywg1FMT,Calibre 50,A La Antigüita,"Andaluz Music, LLC",1,1,22,4195104,2021-10-14,2021,10,2
3,spotify:track:2JPLbjOn0wPCngEot2STUS,Bad Bunny,Yonaguni,Rimas Entertainment LLC,2,3,19,4065191,2021-10-14,2021,10,2
4,spotify:track:2B4GHvToeLTOBB4QLzW3Ni,Farruko,Pepas,Sony Music Latin,1,2,12,3885338,2021-10-14,2021,10,2
5,spotify:track:5RwV8BvLfX5injfqYodke9,Rauw Alejandro,Todo De Ti,Sony Music Latin/Duars Entertainment,1,4,21,3748646,2021-10-14,2021,10,2
6,spotify:track:6HIIuuUIEzH1meVdGbMXyf,Grupo Firme,Ya Supérame (En Vivo),Music VIP Entertainment Inc,5,5,9,3235273,2021-10-14,2021,10,2
7,spotify:track:2vmfvSoZBFAt9hhRoEByLi,"Aventura, Bad Bunny",Volví,Rimas Entertainment LLC,3,6,11,3177407,2021-10-14,2021,10,2
8,spotify:track:4H3t8C59tXjKf1R2iKtc5M,Marca MP,Ya Acabo,Marca MP,7,7,29,3094478,2021-10-14,2021,10,2
9,spotify:track:64JzNzcoSZOh3RWeoghVfk,"Matisse, Carin Leon",Como Lo Hice Yo,Sony Music México,9,12,5,2984138,2021-10-14,2021,10,2
10,spotify:track:4HzqWEdAbzcVFDv0pvxV4w,Maluma,Sobrio,Sony Music Latin,7,8,14,2830323,2021-10-14,2021,10,2
11,spotify:track:2MnLkFqY9Rpg9s3Zv6ZJdK,"Gera MX, Christian Nodal",Botella Tras Botella,Virgin Music México,1,9,25,2783607,2021-10-14,2021,10,2
12,spotify:track:1xO7tp4J5Wj0NeKrzIpd1V,"Christian Nodal, Banda MS de Sergio Lizárraga",La Sinvergüenza,"Producciones Ladon, S.A de C.V.",5,10,3,2675753,2021-10-14,2021,10,2
13,spotify:track:6D2TCm4nf5nxAcdGJ7w3QP,"J Balvin, Maria Becerra",Qué Más Pues?,"Sueños Globales, LLC",3,11,20,2640350,2021-10-14,2021,10,2
14,spotify:track:0eu4C55hL6x29mmeAjytzC,Oliver Tree,Life Goes On,Atlantic Records,12,15,8,2474401,2021-10-14,2021,10,2
15,spotify:track:05bfbizlM5AX6Mf1RRyMho,"Nio Garcia, J Balvin, Bad Bunny",AM Remix,Flow La Movie,3,14,16,2453145,2021-10-14,2021,10,2
16,spotify:track:3HgvO4B5LLmdPOT2d8cSZd,"LAGOS, Danny Ocean",Mónaco,WM Mexico,12,17,16,2382785,2021-10-14,2021,10,2
17,spotify:track:4bF2y8rR7GUjrd5LNEvej3,Ingratax,París,Room28,7,16,14,2346419,2021-10-14,2021,10,2
18,spotify:track:5PjdY0CKGZdEuoNab3yDmX,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),Columbia,7,13,14,2321785,2021-10-14,2021,10,2
19,spotify:track:4MzXwWMhyBbmu6hOcLVD49,"Bad Bunny, Jhay Cortez",DÁKITI,Rimas Entertainment LLC,1,18,50,2282060,2021-10-14,2021,10,2
20,spotify:track:7E9GeFGfjXw9LAI4ay6rsw,"Grupo Firme, Carin Leon",El Tóxico,Music VIP Entertainment Inc,17,19,50,2281992,2021-10-14,2021,10,2
21,spotify:track:0bI7K9Becu2dtXK1Q3cZNB,"Tiësto, KAROL G",Don't Be Shy,Atlantic Records,17,21,9,2198417,2021-10-14,2021,10,2
22,spotify:track:4OwhwvKESFtuu06dTgct7i,"Marc Seguí, Rauw Alejandro, Pol Granch",Tiroteo - Remix,WEA Latina,10,23,16,2138060,2021-10-14,2021,10,2
23,spotify:track:6zSpb8dQRaw0M1dK8PBwQz,"Elton John, Dua Lipa, PNAU",Cold Heart - PNAU Remix,EMI,23,26,8,2034701,2021-10-14,2021,10,2
24,spotify:track:4gvrJnKCKIPiacNsWVQwEU,"CKay, Dj Yo!, AX'EL",love nwantiti (feat. Dj Yo! & AX'EL) - Remix,WM South Africa,24,32,4,2020108,2021-10-14,2021,10,2
25,spotify:track:64ImcY4fJhY243wr20SR3e,"Calibre 50, Santa Fe Klan, Beto Sierra",Cuidando El Territorio,BS Music,15,27,11,1970266,2021-10-14,2021,10,2
26,spotify:track:3FeVmId7tL5YN8B7R3imoM,"Coldplay, BTS",My Universe,Parlophone UK,12,24,3,1969185,2021-10-14,2021,10,2
27,spotify:track:2rCbl9naJYhaxjLsfx88uM,"Sebastian Yatra, Myke Towers",Pareja Del Año,UMLE - Latino,4,20,26,1947545,2021-10-14,2021,10,2
28,spotify:track:1q0PYXTbDsirp2l74ng6pn,"J Balvin, Skrillex",In Da Getto,"Sueños Globales, LLC",11,22,15,1934248,2021-10-14,2021,10,2
29,spotify:track:3pQYf90V5idOGrXzosm9rt,Junior H,Se Amerita,WEA Latina,29,30,13,1914254,2021-10-14,2021,10,2
30,spotify:track:6G2xXQRSZlEzYsUEb3uvuR,Ivan Cornejo,Está Dañada,"Manzana Records, Inc.",30,48,2,1902990,2021-10-14,2021,10,2
31,spotify:track:3PwRuzdphgedcWVUOVYJ7I,Rauw Alejandro,Cúrame,Sony Music Latin/Duars Entertainment,24,28,10,1899114,2021-10-14,2021,10,2
32,spotify:track:0cOa970mzTWAxKtltpkpLc,"TINI, Maria Becerra",Miénteme,Sony Music Latin,20,29,19,1839534,2021-10-14,2021,10,2
33,spotify:track:55mzJ0LftLnef8sxAjrMkU,"Santa Fe Klan, Neto Peña, Yoss Bones",Debo Entender,Rap Trap Records / Alzada Corp,26,35,21,1771799,2021-10-14,2021,10,2
34,spotify:track:3p6eieHX6oEOzJStPtEsLu,Calibre 50,Si Te Pudiera Mentir,Calibre,34,63,64,1750644,2021-10-14,2021,10,2
35,spotify:track:0giiXonRhODYy4J1iy4Lb3,Rauw Alejandro,Sexo Virtual,Sony Music Latin/Duars Entertainment,29,31,16,1747552,2021-10-14,2021,10,2
36,spotify:track:7hU3IHwjX150XLoTVmjD0q,LISA,MONEY,YG Entertainment/Interscope Records,36,44,3,1671366,2021-10-14,2021,10,2
37,spotify:track:1s59X35jDULAyOGmBuTAnd,"Lenin Ramírez, Grupo Firme",Yo Ya No Vuelvo Contigo - En Vivo,DEL Records,27,36,97,1647854,2021-10-14,2021,10,2
38,spotify:track:0G2zPzWqVjR68iNPmx2TBe,"Mora, Bad Bunny, Sech",Volando - Remix,Rimas Entertainment LLC,7,34,14,1641560,2021-10-14,2021,10,2
39,spotify:track:3NqBxTOMCJ3zW9CIP51td4,"Eslabon Armado, DannyLux",Jugaste y Sufrí,DEL Records,33,33,8,1603371,2021-10-14,2021,10,2
40,spotify:track:3elpkpwYlmUbuvmVps08lJ,"Santa Fe Klan, Nanpa Básico",Te Ire A Buscar,Rap Trap Records / Alzada Corp,40,49,29,1590899,2021-10-14,2021,10,2
41,spotify:track:704LUEih663hiE3CnyUrFW,KAROL G,SEJODIOTO,UMLE - Latino,34,38,3,1585255,2021-10-14,2021,10,2
42,spotify:track:4DdnffqoFr9wDRlCACNmGf,"Natanael Cano, Oscar Maydon",Porte Exuberante,WEA Latina,12,37,20,1583624,2021-10-14,2021,10,2
43,spotify:track:0akyEssGRVHstqCSWXusJL,Ed Maverick,Fuentes de Ortiz,Universal Music Mexico,21,42,144,1552914,2021-10-14,2021,10,2
44,spotify:track:3Wrjm47oTz2sjIgck11l5e,Måneskin,Beggin',RCA Records Label,8,40,17,1542732,2021-10-14,2021,10,2
45,spotify:track:1yoMvmasuxZfqHEipJhRbp,Maluma,Hawái,Sony Music Latin,1,41,63,1505853,2021-10-14,2021,10,2
46,spotify:track:0ldT3gl7aGNzrJyd4b1CA4,"Grupo Firme, Lenin Ramírez",En Tu Perra Vida,Music VIP Entertainment Inc,41,46,20,1469506,2021-10-14,2021,10,2
47,spotify:track:6w8yBI2vthyN9UnwO4UBWb,"Tiago PZK, LIT killah",Entre Nosotros,WM Chile,18,39,14,1459988,2021-10-14,2021,10,2
48,spotify:track:2LJRoFOtMGLnSxJqlJuhge,Gerardo Ortiz,Tranquilito,Sony Music Latin,48,50,8,1406181,2021-10-14,2021,10,2
49,spotify:track:5Z9KJZvQzH6PFmb8SNkxuk,"Lil Nas X, Jack Harlow",INDUSTRY BABY (feat. Jack Harlow),Columbia,39,45,11,1376703,2021-10-14,2021,10,2
50,spotify:track:1ahCrpeTt94LL7y1aXw0Y8,"Tokischa, ROSALÍA",Linda,Sony Music Latin,43,43,4,1355460,2021-10-14,2021,10,2
51,spotify:track:0fea68AdmYNygeTGI4RC18,"J Balvin, Bad Bunny",LA CANCIÓN,Universal Music Latino / Rimas,1,51,120,1331786,2021-10-14,2021,10,2
52,spotify:track:2XlGKZNMkRKvEJsbwQ6MCl,"Grupo Firme, Grupo Codiciado",Gracias - En Vivo,Music VIP Entertainment Inc,45,47,28,1279383,2021-10-14,2021,10,2
53,spotify:track:3JCaq3KDSROg3TXhdiDa9n,"Jhay Cortez, Anuel AA",Ley Seca,N&E Entertainment LLC,37,53,6,1248926,2021-10-14,2021,10,2
54,spotify:track:7iqOIHHEmu6Vhw25GgQ2eA,"J Balvin, Sech",Una Nota,"Sueños Globales, LLC",25,54,5,1223837,2021-10-14,2021,10,2
55,spotify:track:2XIc1pqjXV3Cr2BQUGNBck,"Bad Bunny, ROSALÍA",LA NOCHE DE ANOCHE,Rimas Entertainment LLC,3,59,46,1212715,2021-10-14,2021,10,2
56,spotify:track:0vtYnEw1eJwW26BrBnOAYJ,Banda MS de Sergio Lizárraga,La Casita,Lizos Music,36,52,39,1210381,2021-10-14,2021,10,2
57,spotify:track:6UU24wuWgGwuSBAxDH866Z,"Kidd Keo, Yay",Ma Vie (feat. Yay),WEA Latina,53,65,25,1193660,2021-10-14,2021,10,2
58,spotify:track:2FSGUA0gFgGeQdprjtGM2M,"KAROL G, Mariah Angeliq",EL MAKINON,UMLE - Latino,7,57,29,1190252,2021-10-14,2021,10,2
59,spotify:track:7Bk0uXKk1uPT0XuQbpFzvs,"Los Legendarios, Wisin, Jhay Cortez",Fiel,La Base Music Group/ WK Records,1,55,35,1181861,2021-10-14,2021,10,2
60,spotify:track:0PwFN7vRvY80Hnkoew2x3f,"Rauw Alejandro, Mr. Naisgai",2/Catorce,Sony Music Latin/Duars Entertainment,6,61,24,1174949,2021-10-14,2021,10,2
61,spotify:track:0aZnyTWJNgdzYoOiaW8HKG,KAROL G,200 COPAS,UMLE - Latino,47,58,13,1167270,2021-10-14,2021,10,2
62,spotify:track:2BEcap3xJtmiPaHKyfQi4e,"Rvssian, Rauw Alejandro, Chris Brown",Nostálgico,Sony Music Latin,62,115,4,1162852,2021-10-14,2021,10,2
63,spotify:track:2K1CQMoG2Dy5nmeOYnhoi8,"J Balvin, KAROL G, Nicky Jam, Crissin, Totoy El Frio, Natan & Shander",Poblado - Remix,"Sueños Globales, LLC",13,60,17,1162436,2021-10-14,2021,10,2
64,spotify:track:4HYDUMY0xSpeBr0AMY9cUz,"Jay Wheeler, DJ Nelson, Myke Towers",La Curiosidad,Linked Music / Dynamic Records / EMPIRE,6,62,68,1156899,2021-10-14,2021,10,2
65,spotify:track:16ONd70tvWAaLIc6hcLzaG,Christian Nodal,Aquí Abajo,Universal Music Mexico,6,64,66,1156035,2021-10-14,2021,10,2
66,spotify:track:50pkO56KXHoH53sVPRSbZ3,El Fantasma,El Bélico,Afinarte Music,56,67,14,1149536,2021-10-14,2021,10,2
67,spotify:track:4nbWX2HzrOEnX4xxvYRCyU,"El Fantasma, Los Dos Carnales",Cabrón y Vago - En Vivo,Afinarte Music,17,76,62,1148898,2021-10-14,2021,10,2
68,spotify:track:27RSJHEA99Y0Vsow7nA37A,"Sech, Jhay Cortez",911 - Remix,Rich Music,17,56,14,1148119,2021-10-14,2021,10,2
69,spotify:track:5TMLavqGRKNxgzMBrVpC9R,"zzoilo, Aitana",Mon Amour - Remix,Universal Music Spain S.L.,69,87,2,1146693,2021-10-14,2021,10,2
70,spotify:track:4r9jkMEnArtWGH2rL2FZl0,Bad Bunny,A Tu Merced,Rimas Entertainment LLC,18,68,85,1132529,2021-10-14,2021,10,2
71,spotify:track:6VuUMo1TusnqBxLTnr3hOI,León Larregui,Brillas,EMI México,43,77,251,1122447,2021-10-14,2021,10,2
72,spotify:track:3CQDFLetMMxD5hzAnUk410,Rels B,SHORTY QUE TE VAYA BN <3,ILoveRibs! / MÉCÈN Ent.,72,91,2,1117130,2021-10-14,2021,10,2
73,spotify:track:2sUknbm8xdLQgH7wb8xcTX,"Lefty Sm, Santa Fe Klan",Por Mi México,Rap Trap Records / Alzada Corp,65,85,20,1113694,2021-10-14,2021,10,2
74,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,Republic Records,2,73,98,1108979,2021-10-14,2021,10,2
75,spotify:track:5hRFjooNvZWb9gdnXjrv2j,"Grupo Firme, Grupo Recluta",Hablando Claro (En Vivo),Music VIP Entertainment Inc,69,69,8,1106627,2021-10-14,2021,10,2
76,spotify:track:6b2HYgqcK9mvktt4GxAu72,"Justin Quiles, Chimbala, Zion & Lennox",Loco,WEA Latina,53,66,15,1102487,2021-10-14,2021,10,2
77,spotify:track:0tKl8ZVM6xJkhznvJAS3Nq,Junior H,Ella,Rancho Humilde,43,71,91,1098527,2021-10-14,2021,10,2
78,spotify:track:6ifUES3keWjwXgae8pXI3o,Danny Ocean,Me Rehúso,Atlantic Records,1,70,246,1096303,2021-10-14,2021,10,2
79,spotify:track:1nLs8r6K4YN0avBwUmmTnr,Carin Leon,Tú,Tamarindo Rekordsz,14,74,72,1083272,2021-10-14,2021,10,2
80,spotify:track:3XjRIN9vEt35lm1iStPcgq,"Santa Fe Klan, Big Soto, Neto Peña",Todo Va a Estar Bien,473 Music,32,95,15,1072722,2021-10-14,2021,10,2
81,spotify:track:3DarAbFujv6eYNliUTyqtz,"Doja Cat, SZA",Kiss Me More (feat. SZA),Kemosabe Records/RCA Records,19,84,26,1071245,2021-10-14,2021,10,2
82,spotify:track:6VOb0Kkrd45Bp5RHYSla2J,"Reik, Maluma",Perfecta,Sony Music México,45,81,20,1062426,2021-10-14,2021,10,2
83,spotify:track:6PQ88X9TkUIAUIZJHW2upE,Ed Sheeran,Bad Habits,Atlantic Records UK,47,86,16,1058047,2021-10-14,2021,10,2
84,spotify:track:2f0Ft2XdvNSMSY5TUlZgEz,Pablo Alborán,Saturno,WM Spain,24,83,47,1055616,2021-10-14,2021,10,2
85,spotify:track:1xK1Gg9SxG8fy2Ya373oqb,"Myke Towers, Juhn",Bandido,White World Music,3,75,43,1054427,2021-10-14,2021,10,2
86,spotify:track:6sRaqq9SYsSTPvrWkL1sRy,Mi Banda El Mexicano,Ramito De Violetas,Craft Recordings,40,94,87,1052087,2021-10-14,2021,10,2
87,spotify:track:1WvrDdouh6C51In1SdATbq,KAROL G,BICHOTA,UMLE - Latino,2,79,51,1048372,2021-10-14,2021,10,2
88,spotify:track:4R8BJggjosTswLxtkw8V7P,"Jhay Cortez, J Balvin, Bad Bunny",No Me Conoce - Remix,N&E Entertainment LLC,3,82,126,1046489,2021-10-14,2021,10,2
89,spotify:track:6Uj1ctrBOjOas8xZXGqKk4,Doja Cat,Woman,Kemosabe Records/RCA Records,38,72,11,1043798,2021-10-14,2021,10,2
90,spotify:track:6tDDoYIxWvMLTdKpjFkc1B,Kali Uchis,telepatía,EMI / Interscope,1,78,35,1036774,2021-10-14,2021,10,2
91,spotify:track:3p2KYoBgxUaaoJzXUToM8a,Cartel De Santa,Todas Mueren por Mí,Ariola,78,88,19,1034519,2021-10-14,2021,10,2
92,spotify:track:0qP9Kt3gmpDFoDUzl3REGs,"Monsieur Periné, Vicente Garcia",Nuestra Canción,Monsieur Perine,92,-1,1,1033175,2021-10-14,2021,10,2
93,spotify:track:0z5yLgBmAtaylDYrgwzlpH,Leo Rizzi,Amapolas,WM Spain,89,89,10,1026698,2021-10-14,2021,10,2
94,spotify:track:7xLYLM5K6S1TwiSdfuhZQg,"Gera MX, Rels B",Se Me Olvidó,Rich Vagos Entertainment,6,80,11,1025758,2021-10-14,2021,10,2
95,spotify:track:4O2bxKTnK9En7OPw8kGDDF,Los Del Limit,Amor Fugaz,DEL Records,90,90,15,980842,2021-10-14,2021,10,2
96,spotify:track:5jzEwSyyymBlf1fa1o39T2,"Mora, Jhay Cortez",512,Rimas Entertainment LLC,18,92,24,970235,2021-10-14,2021,10,2
97,spotify:track:35wvL50xvKpCHEJPxLOLPI,Bad Bunny,Si Estuviésemos Juntos,Rimas Entertainment LLC,52,98,126,951365,2021-10-14,2021,10,2
98,spotify:track:3T0DeQvOtdqd7Yo3t2Ig3N,La Santa Grifa,Amnesia,Vende Music,68,99,12,942192,2021-10-14,2021,10,2
99,spotify:track:2n7ohqg1s68ToAHh4u9mcW,Bad Bunny,Vete,Rimas Entertainment LLC,1,108,99,939396,2021-10-14,2021,10,2
100,spotify:track:1uKjQoh8JZj9ryuYRhpd7E,Luis Miguel,Ahora Te Puedes Marchar,WM Mexico,21,103,251,937871,2021-10-14,2021,10,2
101,spotify:track:3Vi5XqYrmQgOYBajMWSvCi,Doja Cat,Need to Know,Kemosabe Records/RCA Records,63,127,10,936226,2021-10-14,2021,10,2
102,spotify:track:2MeEuwplwbbjZ7hxRI6viw,"Grupo Firme, Marca MP",El Güero (Feat. Marca MP),Music VIP Entertainment Inc,47,111,95,935115,2021-10-14,2021,10,2
103,spotify:track:26xQbFpVg8JCT5NKQFJXg8,"Fuerza Regida, Calle 24",Que Esta Pasando,Rancho Humilde - Lumbre Music - Streetmob Records,40,101,24,934665,2021-10-14,2021,10,2
104,spotify:track:75ncCwXqalTnnl6t1ruQRq,Bruses,Dueles Tan Bien,Honey,41,96,9,934188,2021-10-14,2021,10,2
105,spotify:track:2TH65lNHgvLxCKXM3apjxI,"Bad Bunny, Tainy",Callaita,Rimas Entertainment LLC,1,106,124,932584,2021-10-14,2021,10,2
106,spotify:track:06IceO7e9isF3nX3y7dOTe,"Lupillo Rivera, Aleman, Santa Fe Klan, Snoop Dogg, B-Real",Grandes Ligas,Prajin Parlay / Z Records,20,120,22,929924,2021-10-14,2021,10,2
107,spotify:track:5HpXH64cSBNu26yhw3vK37,"Carin Leon, Conjunto Primavera",El Amor De Tu Vida,Tamarindo Rekordsz,82,109,58,929141,2021-10-14,2021,10,2
108,spotify:track:2QwMXe5zbqymDZGYsMDVqZ,Carin Leon,Me La Avente,Tamarindo Rekordsz,27,100,123,926859,2021-10-14,2021,10,2
109,spotify:track:2LXOSAYiSrTfIf8smheLaz,"MC Davo, Calibre 50",¿Quién Te Crees?,"Andaluz Music, LLC",58,105,30,926250,2021-10-14,2021,10,2
110,spotify:track:5RubKOuDoPn5Kj5TLVxSxY,Bad Bunny,TE MUDASTE,Rimas Entertainment LLC,4,102,46,925527,2021-10-14,2021,10,2
111,spotify:track:4cV6ld7uIs906zOwNscoBM,"Los Plebes del Rancho de Ariel Camacho, Christian Nodal",2 Veces,Universal Music Mexico,39,97,32,919679,2021-10-14,2021,10,2
112,spotify:track:1qfoq1qvZT7VwDVeekCJ97,Christian Nodal,De Los Besos Que Te Di,Universal Music Mexico,17,112,131,916038,2021-10-14,2021,10,2
113,spotify:track:69vlMrzHwATKzupwNcUPyK,"Bad Bunny, Daddy Yankee",La Santa,Rimas Entertainment LLC,5,113,85,915748,2021-10-14,2021,10,2
114,spotify:track:2OTULPNeQUkwQ0tNzcG7tj,"Reik, Rauw Alejandro",Loquita,Sony Music México,32,114,9,903243,2021-10-14,2021,10,2
115,spotify:track:41wtwzCZkXwpnakmwJ239F,Bad Bunny,Si Veo a Tu Mamá,Rimas Entertainment LLC,1,117,85,888090,2021-10-14,2021,10,2
116,spotify:track:4ZtFanR9U6ndgddUvNcjcG,Olivia Rodrigo,good 4 u,Olivia Rodrigo PS,14,104,22,883985,2021-10-14,2021,10,2
117,spotify:track:2dNhNlpZAtV4lwAFW45LIv,"Nio Garcia, Flow La Movie",AM,"Flow La Movie, Inc.",3,110,29,873662,2021-10-14,2021,10,2
118,spotify:track:6MEBxXI2n3FzPHrGRYFdL8,Rauw Alejandro,La Old Skul,Sony Music Latin/Duars Entertainment,118,160,2,872906,2021-10-14,2021,10,2
119,spotify:track:3D3W7rDsuJIAtjInwh6Moc,"Luis Angel ""El Flaco"", Grupo Firme",Hasta la Miel Amarga (feat. Grupo Firme),LAR Music,85,124,43,867054,2021-10-14,2021,10,2
120,spotify:track:5MyEACD2kRFeh231Z6FkdE,Cartel De Santa,Bombos y Tarolas,RCA Records Label,93,126,15,864825,2021-10-14,2021,10,2
121,spotify:track:3WQilym5Vi4ypxb70vx0eY,Junior H,Mente Positiva,Rancho Humilde / Z Records,84,123,75,864541,2021-10-14,2021,10,2
122,spotify:track:37BZB0z9T8Xu7U3e65qxFy,"The Weeknd, Ariana Grande",Save Your Tears (with Ariana Grande) (Remix),Republic Records,19,118,25,863870,2021-10-14,2021,10,2
123,spotify:track:3lR4O0vtkhCAvVEUEWUL0S,"Piso 21, Christian Nodal",Pa' Olvidarme De Ella,WM Mexico,6,125,110,860178,2021-10-14,2021,10,2
124,spotify:track:3PfIrDoz19wz7qK7tYeu62,Dua Lipa,Don't Start Now,Warner Records,8,129,102,854980,2021-10-14,2021,10,2
125,spotify:track:6o4Gciys1ZIOQ2kDGnvKdm,Sech,PSL,Rich Music,47,116,12,847043,2021-10-14,2021,10,2
126,spotify:track:1SC5rEoYDGUK4NfG82494W,Lil Nas X,MONTERO (Call Me By Your Name),Columbia,15,121,29,839687,2021-10-14,2021,10,2
127,spotify:track:4xbMF8jx0msGGgrtJaAuXE,"Millonario & W. Corona, Cartel De Santa",Éxtasis,RCA Records Label,127,154,13,839504,2021-10-14,2021,10,2
128,spotify:track:43qcs9NpJhDxtG91zxFkj7,"Wisin, Jhay Cortez, Anuel AA, Los Legendarios, Myke Towers",Fiel - Remix,La Base Music Group/ WK Records,10,93,17,830434,2021-10-14,2021,10,2
129,spotify:track:7MmrcXVA7A5zZ2CbDuGHNa,Rels B,A Mí,ILoveRibs! / MÉCÈN Ent.,68,128,138,830201,2021-10-14,2021,10,2
130,spotify:track:3GSMdtJphymHEsR8K9jT5Q,León Larregui,Locos,Universal Music Mexico,56,147,194,820331,2021-10-14,2021,10,2
131,spotify:track:1l77YWrGUp3qX3NS1rz7lq,Banda MS de Sergio Lizárraga,El Color de Tus Ojos,Lizos Music,24,130,209,818407,2021-10-14,2021,10,2
132,spotify:track:2TzkIzgzIHhewMxyh1u4hh,Kevin Kaarl,Vámonos a Marte,Kevin Kaarl,87,132,45,813812,2021-10-14,2021,10,2
133,spotify:track:1Wrzhfa5bNlqvsnCztz190,Hombres G,Devuélveme a mi chica,WM Spain,72,143,216,811606,2021-10-14,2021,10,2
134,spotify:track:4CLkDJ4xLqkV4Vt2vPOny1,El Fantasma,Palabra de Hombre,Afinarte Music,49,152,84,810666,2021-10-14,2021,10,2
135,spotify:track:5u7twkeask1VIyDeNTElSU,Sech,Sal y Perrea,Rich Music,21,119,23,807174,2021-10-14,2021,10,2
136,spotify:track:5NCBP3ivrIDcHEtzHSW3k0,Natanael Cano,El Drip,Rancho Humilde,84,134,38,803289,2021-10-14,2021,10,2
137,spotify:track:6M3PsepEj5gyJoIi7Xvr7u,The Weeknd,Take My Breath,XO / Republic Records,24,135,10,800746,2021-10-14,2021,10,2
138,spotify:track:5GkeaIeCEfB0LOqk7sIVHQ,Los Elegantes de Jerez,Tú,LE Music,126,139,50,800135,2021-10-14,2021,10,2
139,spotify:track:4NUt1fcnO9aQAELBgXq3Kr,Alejandro Fernández,Me Dediqué a Perderte,Columbia,73,136,251,799454,2021-10-14,2021,10,2
140,spotify:track:2JNqLKnqJejNzrmRLNFNFL,Cartel De Santa,Culón Culito,"Babilonia Music, S.A. De C.V.",64,140,49,785442,2021-10-14,2021,10,2
141,spotify:track:4ZplewvZRLFcfBa5uyBbhd,Cardenales De Nuevo León,Belleza De Cantina,Universal Music Mexico,87,155,110,780723,2021-10-14,2021,10,2
142,spotify:track:5aJ1M43pinROpwaPnO8KRj,Natanael Cano,Amor Tumbado,Rancho Humilde,30,133,91,779117,2021-10-14,2021,10,2
143,spotify:track:5nujrmhLynf4yMoMtj8AQF,"Dua Lipa, DaBaby",Levitating (feat. DaBaby),Warner Records,16,144,42,778636,2021-10-14,2021,10,2
144,spotify:track:4loQgPwJHocL3dFwLfjb1J,"Rauw Alejandro, Anuel AA",Reloj,Sony Music Latin/Duars Entertainment,5,137,51,775378,2021-10-14,2021,10,2
145,spotify:track:2JJSGhPpATm8lXeYjD95fw,Bobby Pulido,Desvelado,Capitol Latin,131,159,42,774302,2021-10-14,2021,10,2
146,spotify:track:4jcxBTrNvyqMJdMDyyjdYV,"Christian Nodal, Ángela Aguilar",Dime Cómo Quieres,Universal Music Mexico,4,148,48,770231,2021-10-14,2021,10,2
147,spotify:track:4RVwu0g32PAqgUiJoXsdF8,Billie Eilish,Happier Than Ever,Darkroom/Interscope Records,66,131,11,769607,2021-10-14,2021,10,2
148,spotify:track:6Pur3hWy6Nzc27ilmsp5HA,Los Enanitos Verdes,Lamento Boliviano,EMI Latin,84,158,164,763677,2021-10-14,2021,10,2
149,spotify:track:587p8shYuTXUhThG3t9x60,Los Tucanes De Tijuana,El Amor Soñado,Master Q Music,113,153,10,762689,2021-10-14,2021,10,2
150,spotify:track:6vPAmoERUMRoTZaCCSWQ12,Luis Miguel,Hasta Que Me Olvides,WEA Latina,11,146,96,761550,2021-10-14,2021,10,2
151,spotify:track:6GPBXtnSepHovJi1uD1Ggj,"Justin Quiles, Maluma",La Botella,WEA Latina,77,107,8,759970,2021-10-14,2021,10,2
152,spotify:track:2bgTY4UwhfBYhGT4HUYStN,BTS,Butter,BIGHIT MUSIC,6,149,21,759275,2021-10-14,2021,10,2
153,spotify:track:5jW3rF4URMdK7tO2xjS5EI,Paulo Londra,Tal Vez,WEA Latina,2,157,132,755057,2021-10-14,2021,10,2
154,spotify:track:5CZ40GBx1sQ9agT82CLQCT,Olivia Rodrigo,traitor,Olivia Rodrigo PS,83,142,21,754053,2021-10-14,2021,10,2
155,spotify:track:00jpfco62YfQj1BBYCCuKH,Cartel De Santa,Leve,"Babilonia Music, S.A. De C.V.",25,163,172,753011,2021-10-14,2021,10,2
156,spotify:track:6mm3K0yWp6uzfOMuipM9Zh,Piso 21,Tan Bonita,WM Mexico,31,141,28,749334,2021-10-14,2021,10,2
157,spotify:track:7hbk4BaF66O09R1gq0bKwj,Christian Nodal,No Te Contaron Mal,Universal Music Mexico,9,165,162,740696,2021-10-14,2021,10,2
158,spotify:track:4skuEIloXWuxxgekKupkEH,Mon Laferte,Tu Falta De Querer,Universal Music Mexico,52,193,111,740664,2021-10-14,2021,10,2
159,spotify:track:02aS4O8n7k4UGLXqodbfSk,"T3R Elemento, Clave 702",Siempre Clave,DEL Records,159,-1,1,739740,2021-10-14,2021,10,2
160,spotify:track:70w1mwTod6NgCNV6e7ZlIQ,"Grupo Firme, Luis Alfonso Partida El Yaki",Cada Vez Te Extraño Más,Music VIP Entertainment Inc,70,176,98,738715,2021-10-14,2021,10,2
161,spotify:track:3fBJNawfhtgCmo58trRK2z,Banda MS de Sergio Lizárraga,Cerrando Ciclos,Lizos Music,89,151,46,736874,2021-10-14,2021,10,2
162,spotify:track:3dkEwOKhFselY2m22Nj2vi,"Grupo Firme, Banda Coloso",El Amor No Fue Pa´ Mí - En Vivo,Music VIP Entertainment,60,180,81,730428,2021-10-14,2021,10,2
