"endTime","artistName","trackName","msPlayed"
"2021-10-15 14:08","Princess Nokia","Versace Hottie",194493
"2021-10-15 14:11","Dope Saint Jude","Go High Go Low",202622
"2021-10-15 14:14","Little Simz","Venom",154749
"2021-10-15 14:17","Iggy Azalea","Kream (feat. Tyga)",166626
"2021-10-15 14:21","M.I.A.","Bad Girls",227520
"2021-10-15 14:23","M.I.A.","Double Bubble Trouble",179240
"2021-10-15 14:27","IAMDDB","G.A.F",199129
"2021-10-15 14:27","Iggy Azalea","Black Widow",11829
"2021-10-15 14:29","Iggy Azalea","Fancy",133880
"2021-10-15 14:32","IAMDDB","Shade",175097
"2021-10-15 14:33","IAMDDB","G.A.F",71190
"2021-10-15 18:10","Don Omar","RX",141971
"2021-10-15 18:10","Don Omar","Ojitos Chiquitos - Remastered 2016",1044
"2021-10-15 18:11","Luny Tunes","Mayor Que Yo 3",3629
"2021-10-15 18:12","Don Omar","Ojitos Chiquitos - Remastered 2016",89268
"2021-10-15 18:14","Don Omar","RX",135239
"2021-10-15 18:17","Don Omar","Sexy Robotica",177569
"2021-10-15 18:19","Jowell & Randy","Si Se Tiran",88665
"2021-10-15 18:19","Don Omar","Sandunga",37055
"2021-10-15 18:20","Don Omar","RX",38510
"2021-10-15 18:23","Don Omar","Sandunga",181333
"2021-10-15 18:24","Don Omar","Sexy Robotica",34152
"2021-10-15 18:24","Don Omar","Virtual Diva",1522
"2021-10-15 18:24","Jowell & Randy","Si Se Tiran",3838
"2021-10-15 18:24","Don Omar","Tírate Al Medio",2670
"2021-10-15 18:25","Don Omar","Zumba",49928
"2021-10-15 18:27","Don Omar","Hooka",138992
"2021-10-15 18:28","Luny Tunes","Mayor Que Yo 3",2470
"2021-10-15 18:28","Don Omar","Belly Danza - Remastered 2016",13954
"2021-10-15 18:28","Don Omar","Sandunga",40389
"2021-10-15 18:29","Don Omar","RX",57534
"2021-10-15 18:29","Don Omar","Sandunga",40562
"2021-10-15 20:46","ROSALÍA","PIENSO EN TU MIRÁ - Cap.3: Celos",193138
"2021-10-15 20:49","ROSALÍA","Con Altura",161626
"2021-10-15 20:49","ROSALÍA","Aute Cuture",4211
"2021-10-15 20:51","ROSALÍA","Con Altura",161626
"2021-10-15 20:54","ROSALÍA","Aute Cuture",147626
"2021-10-15 21:06","Tokischa","Linda",115683
"2021-10-15 21:18","Sech","Relación - Remix",25294
"2021-10-15 21:18","Tokischa","Linda",144018
"2021-10-15 21:21","Sech","Relación - Remix",7020
"2021-10-15 21:21","Tokischa","Linda",144018
"2021-10-15 21:23","ROSALÍA","Con Altura",155007
"2021-10-15 21:26","Tokischa","Linda",144018
"2021-10-15 21:27","Sech","Relación - Remix",90550
"2021-10-15 21:30","ROSALÍA","Yo x Ti, Tu x Mi",158518
"2021-10-15 21:32","ROSALÍA","Con Altura",161626
"2021-10-15 21:32","ROSALÍA","Aute Cuture",0
"2021-10-15 21:34","Tokischa","Linda",88698
"2021-10-15 22:34","Emicida","Libre",169706
"2021-10-15 22:35","Ibeyi","I Carried This for Years",48540
"2021-10-15 22:38","Emicida","Libre",164110
"2021-10-15 22:39","Tokischa","Linda",101833
"2021-10-15 22:42","Tokischa","Linda",144018
"2021-10-15 22:46","Sech","Relación - Remix",247308
"2021-10-15 22:47","Bad Bunny","LA NOCHE DE ANOCHE",15397
"2021-10-15 22:50","J Balvin","MOJAITA",187333
"2021-10-15 22:53","J Balvin","CUIDAO POR AHÍ",176888
"2021-10-15 22:53","Soto Asa","Lo Tiene",2617
"2021-10-15 22:55","Soto Asa","Dra Drari",113594
"2021-10-15 22:58","Soto Asa","Fuette",30423
"2021-10-15 22:58","Soto Asa","Tra",171169
